Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,157.000000,160.899994,156.199997,159.699997,152.142075,3098216
2015-04-06,159.649994,169.250000,156.449997,167.449997,159.525314,7646511
2015-04-07,168.000000,168.500000,160.949997,161.949997,154.285583,7451287
2015-04-08,163.000000,165.500000,157.649994,160.899994,153.285278,10558429
2015-04-09,162.949997,163.149994,157.199997,159.300003,151.761002,5155153
2015-04-10,159.750000,162.000000,157.600006,158.399994,150.903595,4803517
2015-04-13,159.600006,161.149994,155.850006,156.800003,149.379333,4584338
2015-04-15,157.399994,158.000000,152.300003,153.350006,146.092590,4768674
2015-04-16,154.000000,154.250000,148.649994,150.100006,142.996429,5257987
2015-04-17,150.000000,151.800003,146.500000,147.149994,140.186020,4896793
2015-04-20,147.899994,149.449997,143.649994,146.250000,139.328613,5235207
2015-04-21,146.850006,147.600006,138.100006,138.899994,132.326447,9659999
2015-04-22,139.000000,140.250000,133.199997,136.800003,130.325836,8921517
2015-04-23,138.250000,139.750000,135.149994,136.199997,129.754242,4741588
2015-04-24,136.449997,136.899994,130.100006,131.050003,124.847961,6105912
2015-04-27,131.399994,131.850006,122.099998,123.949997,118.083977,7946480
2015-04-28,124.150002,129.149994,123.800003,128.100006,122.037582,6264725
2015-04-29,128.750000,134.899994,128.149994,133.750000,127.420174,7701687
2015-04-30,133.500000,138.449997,129.600006,136.449997,129.992401,8382062
2015-05-04,137.800003,140.399994,137.149994,138.300003,131.754852,4282176
2015-05-05,139.800003,141.500000,136.199997,139.300003,132.707535,7284056
2015-05-06,138.899994,138.899994,130.050003,131.600006,125.371941,9279235
2015-05-07,130.500000,131.000000,126.800003,129.000000,122.894974,7871289
2015-05-08,131.000000,136.300003,129.199997,132.949997,126.658035,9618803
2015-05-11,133.600006,134.000000,128.600006,130.250000,124.085815,6409011
2015-05-12,130.199997,133.300003,125.000000,125.500000,119.560623,9107904
2015-05-13,127.000000,128.000000,123.849998,125.000000,119.084282,11645939
2015-05-14,124.400002,127.550003,122.400002,126.949997,120.942001,8970751
2015-05-15,127.000000,127.000000,124.400002,125.000000,119.084282,5894746
2015-05-18,125.400002,126.400002,120.400002,122.800003,116.988403,5330974
2015-05-19,122.750000,125.949997,122.599998,124.199997,118.322144,3760223
2015-05-20,125.500000,126.900002,121.349998,123.250000,117.417107,8544269
2015-05-21,123.500000,125.949997,122.050003,124.150002,118.274506,7989333
2015-05-22,125.500000,125.699997,122.300003,123.199997,117.369461,4914974
2015-05-25,123.849998,124.800003,120.599998,121.300003,115.559387,4067429
2015-05-26,121.500000,122.000000,116.500000,116.900002,111.367622,5952773
2015-05-27,116.000000,121.000000,115.099998,119.400002,113.749313,7445557
2015-05-28,120.000000,120.000000,116.650002,119.400002,113.749313,4886136
2015-05-29,120.000000,121.449997,115.500000,117.750000,112.177399,21110393
2015-06-01,118.949997,122.000000,117.550003,118.150002,112.558472,5768042
2015-06-02,119.199997,119.349998,111.199997,113.099998,107.747459,6011361
2015-06-03,114.500000,115.000000,102.800003,110.550003,105.318138,21170190
2015-06-04,111.400002,112.550003,106.949997,111.150002,105.889748,14101729
2015-06-05,108.750000,110.300003,106.300003,107.250000,102.174316,7193486
2015-06-08,108.000000,111.500000,107.099998,109.900002,104.698906,9687681
2015-06-09,109.849998,111.900002,107.550003,110.800003,105.556313,7025198
2015-06-10,112.750000,115.699997,111.099998,112.000000,106.699516,8397380
2015-06-11,114.500000,114.500000,107.400002,107.900002,102.793564,7161382
2015-06-12,108.400002,109.400002,104.650002,107.550003,102.460114,6846005
2015-06-15,107.949997,109.250000,106.000000,108.150002,103.031723,5699786
2015-06-16,108.199997,108.900002,105.699997,107.900002,102.793564,4250200
2015-06-17,108.949997,109.900002,107.449997,108.550003,103.412804,3673721
2015-06-18,109.099998,109.400002,106.400002,106.900002,101.840881,4599512
2015-06-19,107.150002,108.150002,105.800003,106.500000,101.459808,4884998
2015-06-22,107.199997,116.400002,106.500000,114.599998,109.176468,10211633
2015-06-23,116.000000,118.500000,114.599998,117.500000,111.939224,9247220
2015-06-24,117.800003,117.849998,113.800003,114.449997,109.033569,3727482
2015-06-25,112.750000,121.000000,112.099998,118.199997,112.606102,11625400
2015-06-26,117.650002,122.949997,114.349998,120.000000,114.320915,9360964
2015-06-29,113.849998,119.000000,113.099998,117.000000,111.462891,5194257
2015-06-30,116.050003,118.800003,115.750000,116.900002,111.367622,4070899
2015-07-01,116.800003,118.750000,116.550003,117.400002,111.843956,3566230
2015-07-02,116.699997,119.400002,115.849998,116.800003,111.272354,4358746
2015-07-03,116.550003,118.300003,115.500000,116.000000,110.510223,3630686
2015-07-06,114.000000,118.199997,114.000000,117.599998,112.034485,3845929
2015-07-07,116.949997,120.400002,116.949997,119.199997,113.558769,4264557
2015-07-08,117.949997,118.150002,115.000000,116.500000,110.986557,4034686
2015-07-09,117.150002,118.500000,116.550003,116.849998,111.319992,3116182
2015-07-10,117.949997,118.050003,113.599998,114.650002,109.224106,3337193
2015-07-13,115.300003,116.099998,113.699997,115.400002,109.938622,3022539
2015-07-14,115.900002,116.250000,113.550003,114.400002,108.985931,3119476
2015-07-15,116.699997,118.300003,116.000000,116.699997,111.177086,4816079
2015-07-16,116.500000,117.250000,115.099998,116.050003,110.557854,3547074
2015-07-17,116.400002,116.900002,113.800003,114.199997,108.795395,2737098
2015-07-20,114.199997,114.449997,108.250000,108.699997,103.555687,6067534
2015-07-21,108.150002,108.650002,105.000000,106.599998,101.555077,5994106
2015-07-22,106.199997,107.800003,105.699997,106.599998,101.555077,4215446
2015-07-23,107.449997,109.500000,106.300003,107.800003,102.698288,4013062
2015-07-24,107.300003,108.349998,102.800003,103.199997,98.315979,5551887
2015-07-27,102.199997,104.449997,100.500000,101.199997,96.410637,5861376
2015-07-28,102.000000,102.000000,95.000000,95.400002,90.885132,8686984
2015-07-29,96.800003,104.400002,94.199997,101.550003,96.744072,12340725
2015-07-30,102.900002,110.949997,102.000000,109.699997,104.508369,17880156
2015-07-31,109.000000,116.599998,108.050003,115.050003,109.605171,10625318
2015-08-03,115.099998,117.699997,113.500000,115.500000,110.033875,6223109
2015-08-04,115.199997,117.050003,111.800003,115.050003,109.605171,6607088
2015-08-05,116.000000,126.099998,116.000000,122.099998,116.321526,16047306
2015-08-06,121.750000,125.599998,120.099998,122.449997,116.654961,9919996
2015-08-07,121.300003,126.599998,120.050003,125.699997,119.751152,11513533
2015-08-10,125.050003,130.399994,123.599998,128.300003,122.228111,10318987
2015-08-11,128.449997,129.699997,122.199997,124.349998,118.465042,7569814
2015-08-12,122.500000,123.650002,115.599998,117.099998,111.558159,7258249
2015-08-13,118.050003,122.000000,110.500000,114.250000,108.843040,8351901
2015-08-14,116.000000,136.699997,113.000000,135.250000,128.849197,27751885
2015-08-17,132.699997,133.800003,127.750000,129.300003,125.029648,14297576
2015-08-18,130.000000,131.699997,124.849998,128.050003,123.820946,12797745
2015-08-19,129.899994,131.899994,126.050003,126.699997,122.515526,11063533
2015-08-20,126.099998,127.449997,115.599998,120.000000,116.036797,15824669
2015-08-21,116.300003,122.250000,111.900002,113.949997,110.186615,16794240
2015-08-24,105.000000,107.500000,93.349998,96.650002,93.457970,17825912
2015-08-25,99.800003,114.099998,97.099998,112.099998,108.397705,31742998
2015-08-26,111.000000,114.300003,108.300003,110.099998,106.463768,15911246
2015-08-27,115.500000,116.099998,108.400002,114.750000,110.960190,19325858
2015-08-28,117.699997,119.500000,111.550003,115.199997,111.395325,15818307
2015-08-31,114.099998,117.000000,109.400002,110.900002,107.237343,11098531
2015-09-01,108.000000,111.349998,104.099998,106.300003,102.789268,10897612
2015-09-02,108.300003,114.250000,107.400002,109.699997,106.076973,15425527
2015-09-03,113.000000,123.050003,111.849998,120.599998,116.616974,25615172
2015-09-04,120.000000,120.300003,111.199997,116.750000,112.894135,21553097
2015-09-07,116.000000,118.199997,111.699997,112.699997,108.977890,11584547
2015-09-08,114.500000,123.750000,112.800003,120.349998,116.375244,15552677
2015-09-09,125.000000,125.800003,120.800003,122.500000,118.454231,12003425
2015-09-10,117.150002,126.050003,116.599998,123.900002,119.807999,14458515
2015-09-11,126.000000,127.599998,123.550003,124.800003,120.678276,11524766
2015-09-14,124.800003,126.650002,122.650002,126.099998,121.935333,6333571
2015-09-15,125.199997,127.800003,121.800003,123.150002,119.082771,8814580
2015-09-16,125.000000,126.000000,121.150002,123.599998,119.517891,8706660
2015-09-18,125.500000,131.000000,125.050003,126.349998,122.177078,15618398
2015-09-21,124.400002,129.449997,123.000000,127.900002,123.675888,6851388
2015-09-22,129.500000,130.350006,123.550003,124.349998,120.243134,10769504
2015-09-23,122.500000,127.949997,121.949997,127.150002,122.950661,7451135
2015-09-24,126.500000,128.850006,125.750000,126.550003,122.370476,5550016
2015-09-28,126.000000,133.750000,124.849998,129.550003,125.271400,16531994
2015-09-29,127.400002,137.300003,126.300003,134.600006,130.154617,19676328
2015-09-30,136.500000,138.750000,135.149994,137.350006,132.813782,11501067
2015-10-01,138.750000,138.800003,132.699997,134.199997,129.767822,9524729
2015-10-05,134.850006,136.949997,132.500000,133.949997,129.526077,10221555
2015-10-06,134.500000,137.699997,134.500000,135.199997,130.734802,7406199
2015-10-07,135.350006,140.350006,134.250000,138.399994,133.829102,11799500
2015-10-08,139.949997,141.300003,136.750000,138.899994,134.312576,11693686
2015-10-09,141.899994,142.899994,138.350006,139.949997,135.327911,14305062
2015-10-12,138.949997,139.800003,135.399994,136.149994,131.653412,5557629
2015-10-13,135.550003,138.449997,135.550003,136.850006,132.330307,5706788
2015-10-14,136.850006,138.000000,132.949997,133.399994,128.994232,7010057
2015-10-15,134.899994,136.149994,134.000000,134.550003,130.106247,4734016
2015-10-16,130.000000,132.300003,127.650002,128.399994,124.159363,10170319
2015-10-19,129.250000,133.199997,127.800003,132.149994,127.785522,8117129
2015-10-20,133.699997,133.899994,130.250000,131.699997,127.350388,4776614
2015-10-21,131.699997,132.899994,128.000000,128.850006,124.594521,4867466
2015-10-23,132.000000,132.500000,129.250000,130.050003,125.754883,4911591
2015-10-26,130.899994,131.649994,128.350006,129.000000,124.739563,3917714
2015-10-27,128.850006,129.000000,126.650002,126.949997,122.757256,5584642
2015-10-28,126.000000,126.500000,122.650002,123.900002,119.807999,6074089
2015-10-29,124.199997,125.500000,119.650002,120.400002,116.423592,9660966
2015-10-30,121.449997,122.449997,115.250000,116.500000,112.652397,8635267
