Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,879.000000,900.950012,874.750000,889.900024,850.592773,358652
2015-04-06,899.000000,899.000000,867.799988,871.450012,832.957703,78633
2015-04-07,877.000000,878.000000,864.000000,871.950012,833.435608,225536
2015-04-08,879.799988,898.000000,873.650024,887.849976,848.633301,237076
2015-04-09,894.000000,894.000000,870.099976,873.000000,834.439209,156979
2015-04-10,881.950012,888.000000,870.000000,879.700012,840.843323,178435
2015-04-13,885.000000,887.250000,873.500000,876.849976,838.119080,219328
2015-04-15,876.000000,881.900024,870.000000,874.450012,835.825195,82928
2015-04-16,878.000000,878.000000,865.500000,869.849976,831.428345,828157
2015-04-17,870.000000,872.400024,865.000000,867.799988,829.468933,104264
2015-04-20,869.000000,869.000000,845.000000,850.250000,812.694153,68030
2015-04-21,855.000000,864.200012,833.000000,853.950012,816.230591,98850
2015-04-22,857.950012,867.000000,841.000000,863.849976,825.693298,401569
2015-04-23,866.500000,882.000000,863.599976,875.049988,836.398682,577051
2015-04-24,879.000000,879.000000,845.200012,853.849976,816.135071,190814
2015-04-27,855.000000,869.000000,840.099976,865.900024,827.652832,44692
2015-04-28,865.900024,872.299988,856.000000,865.700012,827.461670,47611
2015-04-29,861.000000,869.700012,850.650024,860.400024,822.395813,153047
2015-04-30,856.000000,874.599976,843.500000,862.099976,824.020691,119618
2015-05-04,866.000000,869.200012,850.150024,856.599976,818.763611,89730
2015-05-05,856.599976,865.099976,855.150024,861.400024,823.351624,71688
2015-05-06,860.500000,866.000000,843.349976,846.450012,809.061890,65463
2015-05-07,842.000000,855.400024,837.000000,846.650024,809.253052,87318
2015-05-08,850.000000,868.099976,846.000000,858.349976,820.436340,31634
2015-05-11,858.099976,866.700012,852.750000,857.799988,819.910583,31666
2015-05-12,861.799988,866.000000,844.049988,850.000000,812.455139,297527
2015-05-13,850.400024,856.900024,847.000000,848.849976,811.355957,24958
2015-05-14,849.099976,873.900024,838.150024,865.250000,827.031616,118068
2015-05-15,865.250000,865.250000,847.000000,854.299988,816.565186,52990
2015-05-18,859.000000,871.099976,854.000000,863.900024,825.741150,56289
2015-05-19,861.950012,865.900024,860.049988,863.250000,825.119873,66266
2015-05-20,862.150024,864.900024,855.000000,861.150024,823.112610,601584
2015-05-21,865.000000,865.000000,851.000000,860.200012,822.204590,507318
2015-05-22,865.000000,865.000000,851.599976,855.549988,817.760010,48798
2015-05-25,855.000000,856.799988,844.000000,845.950012,808.583984,42354
2015-05-26,846.299988,850.049988,836.349976,839.650024,802.562317,653453
2015-05-27,844.950012,854.000000,837.150024,848.849976,811.355957,384422
2015-05-28,849.700012,854.900024,835.000000,850.250000,812.694153,191165
2015-05-29,853.000000,935.000000,853.000000,918.349976,877.786072,571193
2015-06-01,908.799988,932.200012,893.000000,917.599976,877.069214,206170
2015-06-02,917.000000,917.000000,883.349976,898.500000,858.812866,260628
2015-06-03,898.500000,900.000000,873.000000,895.549988,855.993103,112443
2015-06-04,905.000000,920.000000,892.049988,901.099976,861.298035,153406
2015-06-05,903.000000,909.250000,885.000000,892.400024,852.982361,102595
2015-06-08,896.799988,919.200012,887.049988,913.599976,873.245911,130233
2015-06-09,913.000000,913.000000,895.000000,901.750000,861.919312,121791
2015-06-10,906.000000,912.650024,893.000000,899.349976,859.625305,118520
2015-06-11,902.099976,911.000000,882.250000,886.099976,846.960571,60298
2015-06-12,816.900024,908.400024,816.900024,895.000000,855.467407,262492
2015-06-15,895.000000,895.900024,877.000000,882.750000,843.758545,38277
2015-06-16,877.049988,888.000000,866.000000,876.400024,837.689087,45489
2015-06-17,885.000000,902.000000,871.000000,892.299988,852.886658,117970
2015-06-18,895.000000,910.000000,888.049988,904.849976,864.882446,103955
2015-06-19,909.750000,915.400024,891.150024,895.950012,856.375549,106315
2015-06-22,902.000000,902.000000,889.349976,896.049988,856.471069,243685
2015-06-23,903.000000,908.000000,890.049988,895.950012,856.375549,248899
2015-06-24,899.950012,905.000000,891.099976,899.549988,859.816467,541894
2015-06-25,902.000000,902.000000,891.000000,900.250000,860.485657,294884
2015-06-26,900.000000,910.000000,894.099976,905.299988,865.312439,249336
2015-06-29,903.900024,904.000000,886.000000,900.049988,860.294495,103948
2015-06-30,905.000000,907.000000,886.000000,896.549988,856.948975,367715
2015-07-01,895.000000,945.000000,891.000000,929.400024,888.347961,402351
2015-07-02,930.000000,942.799988,916.250000,920.799988,880.127930,191933
2015-07-03,925.000000,939.000000,921.750000,925.099976,884.237976,73181
2015-07-06,919.000000,930.250000,895.000000,928.200012,887.201111,63290
2015-07-07,934.900024,974.400024,933.200012,967.500000,924.765137,313249
2015-07-08,964.000000,984.400024,954.900024,972.049988,929.114136,180955
2015-07-09,973.049988,988.700012,941.000000,947.250000,905.409607,89553
2015-07-10,950.000000,968.000000,946.000000,949.750000,907.799194,70302
2015-07-13,952.549988,972.549988,948.000000,964.849976,922.232178,130925
2015-07-14,957.200012,969.000000,955.049988,962.700012,920.177185,82622
2015-07-15,964.950012,984.049988,958.099976,981.200012,937.859924,139316
2015-07-16,983.000000,998.299988,977.200012,983.099976,939.675964,144106
2015-07-17,982.799988,983.000000,961.099976,968.750000,925.959961,137139
2015-07-20,969.000000,992.000000,969.000000,985.650024,942.113403,128979
2015-07-21,992.000000,992.000000,967.200012,985.849976,942.304504,255322
2015-07-22,985.000000,1005.000000,980.500000,988.950012,945.267700,124151
2015-07-23,1000.000000,1002.000000,984.099976,987.450012,943.833923,68414
2015-07-24,990.000000,1013.450012,980.000000,993.650024,949.760132,136382
2015-07-27,980.000000,997.000000,971.000000,975.099976,932.029419,62465
2015-07-28,983.000000,983.000000,950.849976,954.849976,912.673767,181808
2015-07-29,955.299988,1013.500000,955.299988,1005.799988,961.373413,214995
2015-07-30,1004.000000,1013.000000,988.549988,998.750000,963.254150,262564
2015-07-31,1000.000000,1007.000000,985.000000,998.150024,962.675415,263768
